법률분류,기본질문,기본답변
상속과유언>기타상속과유언>기타>Ⅰ.상속등기,대장상 본인의 조부명의로 등재되어 있으나 등기되어 있지 않은 부동산을 상속인들이 직접 보존등기를 할 수 있는지요? 상속인중의 1인 명의로 등기하는 절차는 어떠한지요?,"보존등기는 건축물관리대장이나 토지대장, 임야대장에 자신이 소유자로 등재되어 있는 자와 그러한 자의 상속인이 자신의 명의로 신청할 수 있는 것이므로 대장상 소유자의 상속인들은 자신들의 명의로 보존등기를 할 수 있고, 상속인 중 1인 명의로 등기하려면 상속인 전원의 인감증명을 첨부한 상속재산분할협의서에 의하여 1인이 상속받은 사실을 소명하여 등기를 신청할 수 있습니다."
상속과유언>기타상속과유언>기타>Ⅰ.상속등기,망인(피상속인)이 생전에 자기 소유 부동산을 매도하고 매매대금을 모두 지급받기 전에 사망한 경우 등기를 하려면 ? 한편 망인 소유로 등기된 부동산을 그 상속인으로부터  매수한 경우에는 소유권이전등기절차가 어떤가요?,"우선 첫 번째의 경우 상속인은 당해 부동산에 관하여 상속등기를 거칠 필요없이 상속을 증명하는 서면을 첨부하여 피상속인으로부터 바로 매수인 앞으로 소유권이전등기를 신청할 수 있습니다.두 번째의 경우 상속인등의 기본증명서, 제적등본 등 상속인임을 증명하는 서면을 첨부하여 상속인 앞으로 재산상속에 의한 소유권이전등기를 마친 후 매수인 앞으로 소유권이전등기를 하여야 하고, 그 밖의 사항은 일반 소유권이전등기와 같습니다."
상속과유언>기타상속과유언>기타>Ⅰ.상속등기,부동산 매도인이 사망한 경우 상속등기를 하지 않고 바로 매수인에게 소유권이전등기가 가능한가요?,"피상속인 소유의 부동산에 관하여 피상속인과의 사이에 매매 등 원인행위가 있었으나 아직 등기신청을 하고 있지 않은 사이에 상속이 개시된 경우 상속인은 신분을 증명할 수 있는 서류를 첨부하여 피상속인으로부터 바로 매수자 앞으로 소유권이전등기를 신청할 수 있고, 그러한 경우에는 상속등기를 거칠 필요가 없이 바로 매수인 앞으로 등기명의를 이전할 수 있으며, 이러한 법리는 상속인과 등기권리자의 공동신청에 의한 경우뿐만 아니라 피상속인과의 원인행위에 의한 권리의 이전, 설정의 등기청구권을 보전하기 위한 처분금지가처분신청의 인용에 따른 법원의 직권에 의한 가처분기입등기의 촉탁에서도 그대로 적용된다고 판례는 판시하고 있습니다."
상속과유언>기타상속과유언>기타>Ⅰ.상속등기,사정명의인의 토지 소유권상속,"대법원은 일제강점기의 토지조사령에 기하여 행하여진 토지조사사업에서 토지 소유자로 사정받은 사람은 당해 토지의 소유권을 원시적·창설적으로 취득하는 것으로서, 사정은 토지소유권관계의 출발점을 이룬다. 또한 토지사정 이후 100여 년에 이르는 오랜기간 동안에 토지에 관한 거래 기타 법률관계에 관한 변동원인이 있었을 적지 않은 개연성, 그 사이에 우리 사회에 일어난 전란 기타 현저한 사회적·경제적 변동 또는 토지이용현황의 추이 등에도 불구하고, 사정명의인의 후손은 일단 상속이라는 포괄적권리승계원인에 의하여 사정명의인이 가지던 토지소유권의 승계취득을 쉽사리 증명할 수 있다. 이러한 사정 등을 고려하면, 사정명의인의 후손으로서 상속에 의하여 그의 소유권을 승계취득하였음을 소송상 주장하는 경우에 그의 선대와 사정명의인의 동일성은 엄격하게 증명되어서 법관이 그에 관하여 확신을 가질 수 있어야 하고, 그 점에 관하여 의심을 제기할 만한 사정이 엿보임에도 함부로 이를 추단하여서는 안 된다. 한편 토지조사부에 사정받은 것으로 기재된 사람의 이름이 당사자가 내세우는 사람의 이름과 다름에도 그들을 동일인이라고 인정하기 위하여는 합리적이고 납득할 만한 근거가 제시되어야 한다(대법원 2011. 11. 24. 선고 2011다56972 판결)고 하여 사정명의인의 동일성 판단을 엄격하게 하고 있습니다. 따라서 다른 특별한 근거를 제시하지 못하는 이상 승계취득을 인정받기 어려울 것으로 보입니다."
상속과유언>기타상속과유언>기타>Ⅰ.상속등기,"상속등기를 하고자 하는데, 공동상속인 중 일부가 행방불명되어 주민등록등본을 제출할 수 없습니다. 어떻게 하면 좋은지요?",공동상속인 중 일부가 행방불명되어 주민등록이「주민등록법」제20조 제5항의 규정에 의하여 말소된 경우에는 그 말소된 주민등록표등본을 첨부하여 그 최후 주소를 주소지로 하여 상속등기를 신청할 수 있을 것입니다. 그런데 위 말소된 주민등록표등본도 제출할 수 없을 때에는 이를 소명하여「가족관계의 등록 등에 관한 법률」제15조 제1항 제2호의 기본증명서상 등록기준지를 그 주소지로 하여 상속등기의 신청을 할 수 있을 것입니다.? 등기예규 제1218호
상속과유언>기타상속과유언>기타>Ⅰ.상속등기,상속등기시 필요한 증명서,"가족관계 등록에 관한 법률이 시행되면서 상속등기시 필요한 서면으로 상속인의 가족관계등록부를 요구하는 사례가 많으나, 기본적으로 상속인은 피상속인의 가족관계증명서상 기재된 바에 의해 상속인임이 증명될 것이며 상속인의 주소를 증명하는 서면은 주민등록등?초본에 의해 증명할 것이므로 상속인에 대한 어떠한 증명서도 상속등기시 필요한 서류는 아닙니다.다만, 상속인의 사망여부에 대한 판단 자료로 기본증명서의 요구는 가능할 것이며 이외의 상속인에 관한 증명서는 등기관의 보정명령에 의해서만 발급이 가능할 것입니다.상속등기시 필요한 증명서에 대한 자세한 사항은  아래 법제처 제공 찾기쉬운 생활법령정보(상속>상속등기)를 참조하시기 바랍니다.https://www.easylaw.go.kr/CSP/CnpClsMain.laf?popMenu=ov&csmSeq=255&ccfNo=7&cciNo=1&cnpClsNo=1&search_put=%EC%83%81%EC%86%8D%EB%93%B1%EA%B8%B0"
상속과유언>기타상속과유언>기타>Ⅰ.상속등기,상속을 받았는데 강제집행 당하지 않으려고 상속을 하지 않는 경우에 어떻게 할 수 있나요,"상속등기가 없더라도 피상속인의 사망으로 위 부동산은 법률상 당연히 상속인의 소유가 됩니다. 그러나 상속받은 재산을 처분하기 위해서는 상속인 명의로 등기를 경료해야 하므로 이 상태로는 강제경매를 신청할 수 없고, 승소확정판결을 얻은 채권자는 채권자대위권에 의하여 채무자를 대위하여 채무자 명의로 상속을 원인으로 하는 이전등기를 경료한 다음 집행법원에 상속재산에 대한강제경매를 신청하여야 합니다.?근거법령: 민법 제187조, 제404조, 부동산등기법 29, 52조?참조: 민사집행실무 제[Ⅱ]권 39, 106쪽"
상속과유언>기타상속과유언>기타>Ⅰ.상속등기,상속을 원인으로 농지를 취득할 경우에도 농지취득자격증명이 필요한지,"농지취득자격증명에 관하여 농지법에서 농지를 취득하려는 자는 농지의 소재지를 관할하는 시장(구를 두지 아니한 시의 시장을 말하며, 도농복합형태의 시에 있어서는 농지의 소재지가 동지역인 경우에 한함), 구청장(도농복합형태의 시의 구에 있어서는 농지의 소재지가 동지역인 경우에 한함), 읍장 또는 면장으로부터 농지취득자격증명을 발급받아야 한다고 규정하고 있습니다(농지법 제8조 제1항 본문). 그러므로 토지취득의 경우 지목이 농지로 된 경우는 소재지관서의 농지취득자격증명을 받아야 할 것입니다. 이처럼 농지취득자격증명이 요구되는 ‘농지’에 관하여 판례를 보면, 어떤 토지가 농지법에서 정한 농지인지의 여부는 공부상의 지목여하에 불구하고 당해 토지의 사실상의 현상에 따라 가려져야 할 것이고, 공부상 지목이 전(田)인 토지의 경우 그 농지로서의 현상이 변경되었더라도 그 변경상태가 일시적인 것에 불과하고 농지로서의 원상회복이 손쉽게 이루어질 수 있다면 그 토지는 여전히 농지법에서 말하는 농지에 해당한다고 하였습니다(대법원 2007. 6. 29. 선고 2007마258 결정).그리고 농지법 제8조 제1항 단서에 해당되는 경우에는 농지취득자격증명을 발급 받지 아니하고 농지를 취득할 수 있는 예외가 인정되는데, 이를 보면 ①국가나 지방자치단체가 농지를 소유하는 경우, ②상속(상속인에게 한 유증을 포함)으로 농지를 취득하여 소유하는 경우, ③농지법 제13조 제1항에 따라 담보농지를 취득하여 소유하는 경우(자산유동화에 관한 법률 제3조에 따른 유동화전문회사 등이 제13조 제1항 제1호부터 제4호까지에 규정된 저당권자로부터 농지를 취득하는 경우를 포함), ④농지법 제34조 제2항에 따른 농지전용협의를 마친 농지를 소유하는 경우, ⑤한국농촌공사 및 농지관리기금법에 의하여 한국농촌공사가 농지를 취득하여 소유하는 경우, 농어촌정비법  제16조·제25조·제43조·제82조 또는 제100조에 따라 농지를 취득하여 소유하는 경우, 공유수면매립법에 따라 매립농지를 취득하여 소유하는 경우, 토지수용으로 농지를 취득하여 소유하는 경우, 농림수산식품부장관과 협의를 마치고 공익사업을 위한 토지 등의 취득 및 보상에 관한 법률에 따라 농지를 취득하여 소유하는 경우, ⑥농업법인의 합병으로 농지를 취득하는 경우, ⑦공유농지의 분할, ⑧시효의 완성으로 농지를 취득하는 경우, 징발재산정리에 관한 특별조치법 제20조, 공익사업을 위한 토지 등의 취득 및 보상에 관한 법률 제91조에 따른 환매권자가 환매권에 따라 농지를 취득하는 경우, 국가보위에 관한 특별조치법 제5조 제4항에 따른 동원대상지역 내의 토지의 수용·사용에 관한 특별조치령에 따라 수용·사용된 토지의 정리에 관한 특별조치법 제2조 및 같은 법 제3조에 따른 환매권자 등이 환매권 등에 따라 농지를 취득하는 경우, 농지법 제17조에 따른 농지이용증진사업 시행계획에 따라 농지를 취득하는 경우에는 농지취득자격증명이 필요치 않습니다(농지법시행령 제6조).따라서 귀하가 상속을 원인으로 하여 농지를 취득할 경우에는 농지취득자격증명이 필요하지 않다 할 것입니다."
상속과유언>기타상속과유언>기타>Ⅰ.상속등기,상속을 원인으로 하는 이전등기의 신청 가부,"기존 등기에 관하여 등기명의인의 성명이나 주소 등 표시에 착오 또는 유류가 있는 경우에는 원칙적으로 등기명의인 표시의 경정등기를 하여 등기부의 표시를 경정한 다음 새로운 등기를 하여야 하는 것이므로, 기존 등기명의인의 표시에 착오가 있음에도 불구하고 등기명의인 표시의 경정등기를 하지 아니하고 곧바로 상속을 원인으로 한 이전등기를 신청하는 경우에는 등기부상의 피상속인의 표시와 첨부된 상속을 증명하는 서면상의 피상속인의 표시가 상이하므로 부동산등기법 제55조 제6호의 각하 사유에 해당한다고 한 판례가 있습니다. (대법원 2008. 8. 28. 자 2008마943 결정) 위 판례의 사실관계를 보면 등기신청자가 등기명의인의 주소가 착오로 잘못 기재되어 있을 뿐이라고 주장하면서 상속을 원인으로 한 이전등기를 신청하였는데, 등기관이 부동산등기법 제55조 제6호의 각하사유에 해당함을 이유로 해당 등기신청에 대하여 각하를 하였고, 등기관처분에 대한 이의를 신청인이 제기하였으나 동일한 이유로 배척한 것을 알 수 있습니다. 따라서 질문자분이 성명이 다른 상태에서 경정을 하지 않고 곧바로 이전등기를 신청한다면 위와 같은 사유로 각하될 수 있습니다. "
상속과유언>기타상속과유언>기타>Ⅰ.상속등기,상속재산분할협의 불성립 시 상속등기 방법,"상속재산의 협의분할은 공동상속인 전원이 참여하여야 하므로, 일부 상속인만으로 한 협의 분할은 무효가 됩니다.판례도 “공동상속인 중 일부 상속인의 상속등기만은 경료할 수 없다.”라고 결정한 바 있습니다.그러므로 공동상속인 간의 협의가 이루어지지 않을 때에는 공동상속인 중 1인이 법정상속지분으로 공동상속등기를 신청하고, 이와 같이 법정상속분의 상속등기를 필한 후 법정지분을 이전하는 절차(증여계약에 의한 소유권이전등기절차 등)를 밟아야 할 것입니다."
상속과유언>기타상속과유언>기타>Ⅰ.상속등기,상속재산을 강제집행할 수 있는 방법이 어떻게 됩니까?,"상속은 피상속인의 사망으로 개시되므로 상속등기 여부에 관계     없이 상속인의 소유가 되지만, 상속등기 없이 강제경매를 신청할     수 없고, 대위로 상속등기를 신청하여야 합니다.     피상속인의 제적등본, 상속인들의 호적등본을 발급받아 상속인들     이 법정 상속지분에 따른 상속등기를 경료한 후, 채무자의 상속지     분에 대하여 강제경매를 신청할 수 있습니다."
상속과유언>기타상속과유언>기타>Ⅰ.상속등기,상속재산의 강제집행방법,"상속은 피상속인의 사망으로 개시되므로 상속등기 여부에 관계없이 상속인의 소유가 됩니다. 그러나 이 상태로는 강제경매를 신청할 수 없고, 대위로 상속등기를 신청하여야 합니다. 피상속인의 제적등본, 상속인들의 호적등본을 발급받아 상속인들의 법정상속지분에 따른 상속등기를 신청하여야 하여야 합니다. 이것이 완료되면 채무자의 상속지분에 대하여 강제경매를 신청할 수 있습니다. 대위원인을 증명하는 서면은 집행력있는 정본 또는 근저당권이 설정된 등기부등본이 될 것입니다. 한편, 저당권실행을 위한 임의경매에 있어서는 경매를 신청하면서 동시에 대위에 의한 상속등기를 신청할 수 있습니다.?근거법령: 민법 404조, 부동산등기법 29, 52조?참조: 민사집행실무 제[Ⅱ]권 39, 106쪽"
상속과유언>기타상속과유언>기타>Ⅰ.상속등기,저는 甲소유의 부동산을 매수하여 잔금까지 모두 지급하였으나 소유권이전등기를 하지 않고 있던 중 매도인 甲이 사망하였습니다. 상속인들도 매매사실을 모두 시인하고 협조하려고 하므로 甲명의로 되어 있는 위 부동산을 상속등기 없이 바로 저의 명의로 이전하려고 하는데 가능한지요?,"☞ 위 사안과 관련하여 판례는“피상속인 소유의 부동산에 관하여 피상속인과의 사이에 매매 등의 원인행위가 있었으나 아직 등기신청을 하지 않고 있는 사이에 상속이 개시된 경우 상속인은 신분을 증명할 수 있는 서류를 첨부하여 피상속인으로부터 바로 원인행위자인 매수인 등 앞으로 소유권이전등기를 신청할 수 있고 그러한 경우에는 상속등기를 거칠 필요가 없이 바로 매수인 앞으로 등기명의를 이전할 수 있으며 이러한 법리는 상속인과 등기권리자의 공동신청에 의한 경우뿐만 아니라 피상속인과의 원인행위에 의한 권리의 이전, 설정의 등기청구권을 보전하기 위한 처분금지가처분신청의 인용에 따른 법원의 직권에 의한 가처분기입등기의 촉탁에서도 그대로 적용되므로 상속관계를 표시한 기입등기의 촉탁이 있을 경우 적법하게 상속등기를 거침없이 가처분기입등기를 할 수 있다”라고 하였습니다(대법원 1995. 2. 28. 선고 94다23999 판결). 따라서 귀하는 사망한 甲의 상속인들의 협조를 얻어서 상속인들에 대한 상속등기 없이 甲으로부터 귀하에게 직접 소유권이전등기를 하면 될 것입니다.? 근거법령 : 부동산등기법 제47조, 제55조 제6호,    민사소송법 제719조 제3항? 참조판례 : 대법원 1989. 10. 27. 선고 88다카29986 판결"
상속과유언>기타상속과유언>기타>Ⅰ.상속등기,"저희 부친은 상속재산으로 주택 한 채를 남기고 돌아가셨고, 그 상속인으로는 모친과 남동생, 출가한 여동생 등 모두 4명이 있습니다. 그런데 출가한 여동생 1명이 협의분할에 동의하지 않으면서 법정상속비율에 따른 상속지분등기에도 협력하지 않고 있습니다. 이 경우 제가 단독으로 상속등기를 신청할 수 있는지, 만일 가능하다면 등기에 따른 세금 등의 부담을 여동생에게도 청구할 수 있는지요?","「민법」 제265조는 “공유물의 관리에 관한 사항은 공유자의 지분의 과반수로써 결정한다. 그러나 보존행위는 각자가 할 수 있다.”라고 규정하고 있습니다.그러므로 공유물의 보존행위는 공유자 각자가 단독으로 할 수 있을 것입니다. 위 사안에서도 상속재산에 대한 상속인 전원의 공유등기를 공유물의 보존행위로 본다면 공유자 각자가 단독으로 청구할 수 있다 할 것입니다.이와 관련하여 판례는 “공동상속인중 1인이 단독으로 신청한 이 사건 상속 등기를 부적법하다고 볼 수 없다.”라고 판시하고 있습니다(대전지방법원 홍성지원 1988. 1. 15. 선고 87가합160 판결). 이는 공동상속재산에 대한 상속등기 신청행위는 공유물에 대한 보존행위로 공동상속인 중 1인이 단독으로 신청할 수 있다고 판단한 것으로 해석됩니다.또한, 등기예규에 의하면, “상속개시 후 상속권을 한정승인 또는 포기할 수 있는 기간이 경과한 후에 공동상속인 중 일부가 공동상속등기에 협력하지 않는다 하여 일부 상속등기는 할 수 없고, 상속등기를 하고자 하는 상속인이 상속등기에 협력하지 아니하는 상속인의 상속등기까지 이를 신청할 수 있다.”라고 하였으며(1984. 7. 4. 등기예규 제535호), 등기선례도 공동상속인 중 일부가 법정상속분에 의하여 부동산에 대한 상속등기를 신청할 수 있는지에 관하여 “공동상속의 경우 상속인 중 1인이 법정상속분에 의하여 나머지 상속인들의 상속등기까지 신청할 수 있고 이러한 경우 등기신청서에는 상속인 전원을 표시하여야 한다.”라고 하였습니다(1996. 10. 7. 등기선례5-276).따라서 상속이 개시되어 상속권을 한정승인 또는 포기할 수 있는 기간이 경과한 후에도 공동상속인 중 일부가 공동상속등기에 협력하지 않는다면 공동상속인 중 1인이 단독으로 다른 상속인의 지분을 포함한 전체에 대한 상속등기를 신청할 수 있을 것입니다.이 경우 부담할 세금과 관련하여 판례는 “공유재산에 관한 취득세와 재산세를 공유자의 한 사람이 이를 부담하였다면, 특단의 사정이 없는 한 다른 공유자에게 그 부담부분에 대하여 구상채권을 갖는다고 할 것이다.”라고 하였는바(대법원 1984. 11. 27. 선고 84다카317, 318 판결), 만일 귀하가 공유의 상속등기를 하면서 부담한 세금이 있다면 다른 상속인의 각 지분비율에 따른 세금부담분을 각 상속인에게 청구할 수 있다고 할 것입니다."
상속과유언>기타상속과유언>기타>Ⅰ.상속등기,채권자가 상속대위등기를 위하여 청구하는 경우,"1. 신청대상자가 채무자인 경우  ① 신청대상자의 등록기준지  ② 신청대상자의 사망사실을 소명하는 주민등록표 등(초)본 (실종선고 확정심판서를 포함한다. 이하 같음)  ③ 신청대상자에 대한 채권 발생을 소명하는 자료(채권증서 원본, 채권담보권이 기재된 부동산등기부등본, 경찰서장이 발행한 교통사고사실확인원, 검사의 공소장등본, 형사판결등본)을 제출하면 발급할 수 있다.2. 신청대상자가 채무자의 피상속인(상속재산을 물려준 사람)인 경우  ① 신청대상자의 등록기준지  ② 신청대상자의 사망사실을 소명하는 주민등록표 등(초)본  ③ 채무자에 대한 채권 발생을 소명하는 자료(채권증서 원본, 채권담보권이 기재된 부동산등기부등본, 경찰서장이 발행한 교통사고사실확인원, 검사의 공소장등본, 형사판결등본)  ④ 신청대상자의 부동산등기부등본을 제출하면 발급할 수 있다.3. 등록기준지를 모르는 경우   신청대상자의 등록기준지를 신청서에 기재하여 신청하여야 하나, 법원등기소의 등기관의 보정명령으로서 신청대상자의 성명이 기재된 서면 및 신청인의 신분증명서사본을 추가로 제출하면 발급이 가능하다. 보정서가 인터넷출력물이어서 등기관의 관인이 없는 경우 보정서에 기재된 접수번호와 부동산등기부 인터넷열람출력물의 접수번호가 일치하고, 그 열람출력물의 부동산 명의인과 신청대상자의 성명이 일치하면 유효한 보정명령서로 볼 수 있다."
상속과유언>기타상속과유언>기타>Ⅰ.상속등기,채무자가 아버지로부터 부동산을 상속받았음에도 집행당하지 않으려고 상속등기를 하지 않고 있습니다. 상속포기심판 청구도 하지 않은 상태이다. 위 상속재산에 집행할 수 있는 방법은? 현재 승소확정 판결을 받은 상태입니다.,"상속은 피상속인의 사망으로 개시되므로 상속등기 여부에 관계없이 상속인의 소유가 됩니다. 그러나 이 상태로는 강제경매를 신청할 수 없고, 대위로 상속등기를 신청하여야 합니다. 피상속인의 제적등본, 상속인들의 호적등본을 발급받아 상속인들의 법정상속지분에 따른 상속등기를 신청하여야 하여야 합니다. 이것이 완료되면 채무자의 상속지분에 대하여 강제경매를 신청할 수 있습니다. 대위원인을 증명하는 서면은 집행력있는 정본 또는 근저당권이 설정된 등기부등본이 될 것입니다. 한편, 저당권실행을 위한 임의경매에 있어서는 경매를 신청하면서 동시에 대위에 의한 상속등기를 신청할 수 있습니다."
상속과유언>기타상속과유언>기타>Ⅰ.상속등기,현재 살고 있는 집 명의가 이미 사망한 아버지 이름으로 여전히 되어 있습니다. 어머니 명의로 이를 하고 싶습니다. 어떻게 해야하나요?,"상속이 개시되면 그때부터 피상속인의 재산에 관한 포괄적 권리의무를 승계하므로, 부동산의 소유권은 등기 없이도 상속인에게 이전됩니다(「민법」 제1005조).  다만, 상속부동산을 처분하려면 자신에게 소유권이전등기를 해야 이를 처분할 수 있습니다(「민법」 제187조). 이에 피상속인이 남겨준 부동산 처분하기 위해서는 사전에 상속등기를 할 필요가 있습니다. 이와 관련하여 피상속인(사망자) 이름으로 되어있는 부동산을 상속인 명의로 이전등기하는 방법 혹은 일부 상속인 명의로 부동산 명의를 바꾸는 방법 등을 법제처 제공 생활법령정보를 통해 확인할 수 있습니다 "
상속과유언>기타상속과유언>상속재산조회,피상속인에 대한 재산 등을 조회하는 방법,"◇ 부동산☞ 피상속인의 부동산 관련 사항은 사망 당시 피상속인이 살던 주소지의 시청·군청·구청(지적과)에서 확인할 수 있습니다.◇ 금융☞ 예금, 대출, 보증, 증권계좌, 보험계약, 신용카드 명세는 금융감독원 상속인금융거래조회서비스에서 조회가 가능합니다."
상속과유언>상속일반>단순승인한정승인및상속포기>Ⅰ.총설,사망한 부모의 빚을 물려받지 않을 수 있는지,"부모가 남긴 상속재산 중 적극적 재산보다 소극적 재산이 더 많아 자식들이 이와 같은 권리·의무의 승계, 즉 상속을 받지 않으려면 상속개시 있음을 안 날로부터 3월내에 피상속인의 최후 주소지 관할 법원에 상속포기신고를 하면 됩니다(민법 제1019조 제1항).또한 부모가 남겨놓은 적극적 재산의 한도 내에서 부모의 채무를 변제할 것을 조건으로 상속을 승인하는 한정승인신청을 할 수도 있습니다. 이 신청도 역시 상속개시 있음을 안 날로부터 3월내에 상속재산의 목록을 첨부하여 법원에 한정승인의 신고를 하여야 효력이 발생합니다(민법 제1028조, 제1030조). 다만 상속개시 있음을 안 날로부터 3개월을 초과한 경우에도 예외적으로 상속인은 상속채무가 상속재산을 초과하는 사실을 중대한 과실 없이 상속개시 있음을 안 날로부터 3월내에 알지 못하고 단순승인(제1026조 제1호 및 제2호의 규정에 의하여 단순승인한 것으로 보는 경우를 포함한다)을 한 경우에는 그 사실을 안 날부터 3월내에 한정승인을 할 수 있습니다(민법 제1019조 제3항)."
상속과유언>상속일반>단순승인한정승인및상속포기>Ⅰ.총설,상속포기 또는 한정승인을 위한 준비서류와 주요사항에 관하여 안내해 주세요.,"▶ 관할 : 피상속인(망자)의 주민등록상 최후주소지 관할 가정법원▶ 비용   － 인지 : 청구인 1인당 5,000원   － 송달료 : 청구인 수 × 6회분(18,120원)▶ 준비서류(상속포기, 한정상속 공통)   － 피상속인(망자)의 사망사실이 기재된 기본증명서 1통      (피상속인 2007년 12월 31일 이전에 사망한 경우에는 제적등본 1통)   － 피상속인(망자)의 말소된 주민등록표등본 1통   － 청구인들의 가족관계증명서 각 1통   － 청구인들의 주민등록표등본 각 1통   － 청구인들의 인감증명서 각 1통      (청구인 중 미성년자가 있는 경우는 부?모의 인감증명서 필요)      ※ 한정승인 신청시 유의사항   － 한정승인은 상속포기와 달리 피상속인(망자)이 남긴 재산의 범위 내에서 상속을 받는 것이므로 상속재산목록(상속재산 중 적극재산과 소극재산이 기재된 상속재산 목록, 적극재산의 소명자료 및 부채증명서)을 첨부하여야 합니다.   － 한정승인자는 한정승인을 한 날(심판정본을 송달받은 날)로부터 5일 내에 신문에 공고하여야 합니다.       ▶ 상속순위   1. 상속의 순위(민법 제1000조)      ①순위 : 피상속인(망자)의 직계비속      ②순위 : 피상속인(망자)의 직계존속      ③순위 : 피상속인(망자)의 형제자매      ④순위 : 피상속인(망자)의 4촌 이내 방계혈족   ※ 피상속인(망자)의 배우자는 위 ①순위와 ②순위의 규정에 의한 상속인이 있는 경우에는 그 상속인과 동순위로 공동상속인이 됨▶ 기간(민법 제1019조)     ○ 상속포기 : 상속개시있음을 안 날로부터 3월 이내에 청구     ○ 한정승인 : 상속개시있음을 안 날로부터 3월 이내에 청구                  단) 예외 규정 있음   ※ 상속포기와 한정승인은 차이가 있으므로 자세한 내용은 반드시 담당부서에 문의하시기 바랍니다.   ▶ 인터넷 부산지방법원 홈페이지(http://busan.scourt.go.kr) → 양식’→ ‘가사재판’으로 찾아가서 신청서 양식을 다운받을 수 있으며, 부산법원종합청사 1층 106호 가사과 접수계에도 각 신청서 양식이 비치되어 있습니다."
상속과유언>상속일반>단순승인한정승인및상속포기>Ⅰ.총설,상속포기나 한정승인심판청구를 하려면 어떤 서류들이 있어야 하나...,"청구인의 호적등본, 주민등록등본, 인감증명서 각 1통과 청구인의 인감도장, 피상속인의 제적등본과 말소자주민등록등본 각 1통이 필요합니다. 한정승인을 하는 경우에는 상속재산목록도 있어야 합니다."
상속과유언>상속일반>단순승인한정승인및상속포기>Ⅰ.총설,상속포기나 한정승인심판청구를 하려면 어떤 서류들이 있어야 하나요?,"청구인의 호적등본, 주민등록등본, 인감증명서 각 1통과 청구인의 인감도장, 피상속인의 제적등본과 말소자주민등록등본 각 1통이 필요합니다. 한정승인을 하는 경우에는 상속재산목록도 있어야 합니다."
상속과유언>상속일반>단순승인한정승인및상속포기>Ⅰ.총설,"상속포기나 한정승인을 하고자 하는데, 언제까지 어느 법원에 하면 되나요?","상속인이 상속개시 있음을 안 날(피상속인의 사망사실과 자기가 상속인이 된 사실을 인식한 날)로부터 3월 내에, 피상속인의 주민등록상 최후 주소지(최후 주소지가 외국이면 대법원 소재지)관할 가정법원에 상속포기나 한정승인심판청구서를 제출하면 됩니다. 상속인이 상속채무가 상속재산을 초과하는 사실을 중대한 과실없이 위 기간 내에 알지 못하고 단순승인(민법 제1026조)을 한 경우에는 그러한 사실을 안 날로부터 3월 내에 한정승인을 할 수 있습니다."
상속과유언>상속일반>단순승인한정승인및상속포기>Ⅰ.총설,"상속포기나 한정승인을 하고자 하는데, 언제까지 어느 법원에 하면...","상속인이 상속개시 있음을 안 날(피상속인의 사망사실과 자기가 상속인이 된 사실을 인식한 날)로부터 3월 내에, 피상속인의 주민등록상 최후 주소지(최후 주소지가 외국이면 대법원 소재지)관할 가정법원에 상속포기나 한정승인심판청구서를 제출하면 됩니다. 상속인이 상속채무가 상속재산을 초과하는 사실을 중대한 과실없이 위 기간 내에 알지 못하고 단순승인(민법 제1026조)을 한 경우에는 그러한 사실을 안 날로부터 3월 내에 한정승인을 할 수 있습니다."
